,Level of Acousticness,Level of Danceability,Level of Energy,Explicit,Genre,Key of the Song,Main Label,Mode of the Song,Month of Release,Time Signature
Level of Acousticness,0,405647,521154,20476,179875,363890,3740,357673,5920,198980
Level of Danceability,405647,0,387380,28366,135603,362307,4232,357646,3123,187380
Level of Energy,521154,387380,0,16684,144064,361546,2929,357749,5223,191620
Explicit,20476,28366,16684,0,128738,7897,2415,1947,2030,3401
Genre,179875,135603,144064,128738,0,33455,43061,23347,36224,50783
Key of the Song,363890,362307,361546,7897,33455,0,715,383831,1682,162406
Main Label,3740,4232,2929,2415,43061,715,0,441,7226,1293
Mode of the Song,357673,357646,357749,1947,23347,383831,441,0,902,161413
Month of Release,5920,3123,5223,2030,36224,1682,7226,902,0,1339
Time Signature,198980,187380,191620,3401,50783,162406,1293,161413,1339,0
